"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5"
"294","Alligator","Feature Film","Science Fiction & Fantasy",91,"R","Group 1",1980,1,1,2007,9,18,5.9,7656,"Fresh",67,"Spilled",47,"no","no","no","no","no","no","Lewis Teague","Robert Forster","Robin Riker","Michael Vincente Gazzo","Perry Lang","Jack Carter"
"295","Jennifer 8","Feature Film","Mystery & Suspense",124,"R","Paramount Home Video",1992,11,6,2000,4,11,6.2,11855,"Rotten",39,"Spilled",37,"no","no","no","no","no","no","Bruce Robinson","Andy Garcia","Uma Thurman","Lance Henriksen","Kathy Baker","Graham Beckel"
"296","RoboCop","Feature Film","Drama",102,"R","Orion Pictures Corporation",1987,7,17,2001,10,2,7.5,172765,"Certified Fresh",88,"Upright",83,"no","no","no","no","no","no","Paul Verhoeven","Peter Weller","Nancy Allen","Ronny Cox","Kurtwood Smith","Miguel Ferrer"
"297","The Football Factory","Feature Film","Documentary",91,"R","Image Entertainment",2004,5,14,2005,12,26,6.9,23201,"Rotten",20,"Upright",84,"no","no","no","no","no","no","Nick Love","Danny Dyer","Frank Harper","Dudley Sutton","Tamer Hassan","Roland Monookian"
"298","Bamboozled","Feature Film","Drama",135,"R","New Line Cinema",2000,10,6,2001,4,17,6.4,8604,"Rotten",48,"Upright",74,"no","no","no","no","no","no","Spike Lee","Damon Wayans","Savion Glover","Tommy Davidson","Michael Rapaport","Thomas Jefferson Byrd"
"299","The Sure Thing","Feature Film","Comedy",100,"PG-13","Embassy",1985,3,1,2003,8,5,7,14949,"Fresh",87,"Upright",79,"no","no","no","no","no","no","Rob Reiner","John Cusack","Daphne Zuniga","Anthony Edwards","Boyd Gaines","Lisa Jane Persky"
"300","The Slaughter Rule","Feature Film","Drama",112,"R","Cowboy Pictures",2002,1,11,2003,2,17,6.1,1995,"Fresh",73,"Spilled",44,"no","no","no","no","no","no","Alex Smith","Ryan Gosling","David Morse","Clea DuVall","Eddie Spears","Kelly Lynch"
"301","Rise of the Footsoldier","Feature Film","Action & Adventure",119,"R","Carnaby International",2007,9,7,2008,12,2,6.9,15806,"Rotten",14,"Upright",84,"no","no","no","no","no","no","Julian Gilbey","Ricci Harnett","Craig Fairbrass","Terry Stone","Roland Manookian","Coralie Rose"
"302","Hollywood Homicide","Feature Film","Action & Adventure",116,"PG-13","Columbia Pictures",2003,6,13,2003,10,7,5.3,30694,"Rotten",30,"Spilled",27,"no","no","no","no","no","no","Ron Shelton","Harrison Ford","Josh Hartnett","Lena Olin","Bruce Greenwood","Isaiah Washington"
"303","Morning Glory","Feature Film","Comedy",107,"PG-13","Paramount Studios",2010,11,10,2011,3,8,6.5,56888,"Rotten",56,"Spilled",51,"no","no","no","yes","no","no","Roger Michell","Rachel McAdams","Harrison Ford","Diane Keaton","Patrick Wilson","Jeff Goldblum"
"304","11'09''01 - September 11","Feature Film","Drama",134,"Unrated","Empire Pictures",2002,9,11,2004,10,26,7,4821,"Certified Fresh",78,"Upright",64,"no","no","yes","no","no","no","Samira Makhmalbaf","Sean Penn","Maryam Karimi","Mohamad Dolati","Agelem Habibi","Esmat Vahedi"
"305","Clownhouse","Feature Film","Horror",81,"R","Sony Pictures Home Entertainment",1989,6,1,2003,7,7,5.8,3145,"Rotten",40,"Spilled",41,"no","no","no","no","no","no","Victor Salva","Nathan Forrest Winters","Nathan Forest Winters","Brian McHugh","Sam Rockwell","Tree"
"306","Rampart","Feature Film","Drama",108,"R","Millenium Entertainment",2012,2,10,2012,5,15,5.8,19115,"Certified Fresh",74,"Spilled",35,"no","no","no","no","no","no","Oren Moverman","Woody Harrelson","Sigourney Weaver","Robin Wright","Ned Beatty","Ben Foster"
"307","Cashback","Feature Film","Drama",102,"R","Magnolia Pictures",2007,4,20,2007,7,24,7.2,70994,"Rotten",46,"Upright",78,"no","no","no","no","no","no","Sean Ellis","Sean Biggerstaff","Emilia Fox","Shaun Evans","Michelle Ryan","Stuart Goodwin"
"308","The Host","Feature Film","Drama",120,"R","Magnolia Pictures",2007,3,9,2007,7,24,7,66233,"Certified Fresh",92,"Upright",72,"no","no","no","no","no","no","Bong Joon-ho","Song Kang-ho","Park Hae-il","Byeon Hie-bong","Du-na Bae","Ko Ah-sung"
"309","Aspen Extreme","Feature Film","Drama",113,"PG-13","Buena Vista",1993,1,22,2002,9,3,5.8,2295,"Rotten",22,"Upright",66,"no","no","no","no","no","no","Patrick Hasburgh","Paul Gross","Peter Berg","Finola Hughes","Teri Polo","William Russ"
"310","Nomads","Feature Film","Drama",91,"R","Paramount Home Video",1986,3,7,2002,4,16,5.5,2698,"Rotten",13,"Spilled",37,"no","no","no","no","no","no","John McTiernan","Pierce Brosnan","Lesley-Anne Down","Anna Maria Monticelli","Adam Ant","Hector Mercado"
"311","Deconstructing Harry","Feature Film","Comedy",96,"R","New Line Home Entertainment",1997,12,12,1998,5,26,7.4,34652,"Fresh",71,"Upright",82,"no","no","no","no","yes","no","Woody Allen","Kirstie Alley","Caroline Aaron","Bob Balaban","Richard Benjamin","Eric Bogosian"
"312","The End of America","Documentary","Documentary",NA,"Unrated","Indipix",2008,10,1,2009,1,20,7.5,739,"Fresh",80,"Upright",72,"no","no","no","no","no","no","Anne Sundberg","Naomi Wolf",NA,NA,NA,NA
"313","Hot Shots! Part Deux","Feature Film","Action & Adventure",86,"PG-13","Twentieth Century Fox Home Entertainment",1993,5,21,2002,8,6,6.6,64489,"Rotten",59,"Upright",63,"no","no","no","no","no","no","Jim Abrahams","Charlie Sheen","Lloyd Bridges","Valeria Golino","Richard Crenna","Brenda Bakke"
"314","Lassie","Feature Film","Action & Adventure",94,"PG","Paramount Pictures",1994,7,22,2002,3,12,5.8,3649,"Fresh",87,"Spilled",56,"no","no","no","no","no","no","Daniel Petrie","Tom Guiry","Thomas Guiry","Helen Slater","Jon Tenney","Frederic Forrest"
"315","What Richard Did","Feature Film","Drama",88,"Unrated","Tribeca Films",2013,5,10,2014,6,23,6.3,3359,"Fresh",93,"Upright",62,"no","no","no","no","no","no","Lenny Abrahamson","Jack Reynor","Roisin Murphy","Sam Keeley","Lars Mikkelsen","Fionn Walton"
"316","Emperor","Feature Film","Mystery & Suspense",105,"PG-13","Roadside Attractions",2013,3,8,2013,8,13,6.5,10020,"Rotten",31,"Spilled",46,"no","no","no","no","no","no","Peter Webber","Matthew Fox","Tommy Lee Jones","Eriko Hatsune","Toshiyuki Nishida","Masayoshi Haneda"
"317","Hereafter","Feature Film","Mystery & Suspense",129,"PG-13","Warner Bros. Pictures",2010,10,22,2011,3,15,6.5,78726,"Rotten",46,"Spilled",38,"no","no","no","no","yes","no","Clint Eastwood","Matt Damon","Bryce Dallas Howard","Jay Mohr","Richard Kind","Frankie McLaren"
"318","Aladdin","Feature Film","Action & Adventure",90,"G","Buena Vista Distribution Compa",1992,11,11,2004,10,5,8,246907,"Certified Fresh",94,"Upright",92,"no","no","no","no","no","yes","John Musker","Robin Williams","Linda Larkin","Lea Salonga","Scott Weinger","John Freeman"
"319","The King of Comedy","Feature Film","Drama",109,"PG","Fox",1983,1,1,2002,12,17,7.8,49374,"Certified Fresh",89,"Upright",89,"no","no","yes","no","yes","no","Martin Scorsese","Robert De Niro","Jerry Lewis","Sandra Bernhard","Ed Herlihy","Louis Polliman Brown"
"320","Bound","Feature Film","Mystery & Suspense",108,"R","Republic Pictures Home Video",1996,10,4,2001,6,19,7.4,40001,"Fresh",92,"Upright",82,"no","no","no","no","no","no","Larry Wachowski","Jennifer Tilly","Gina Gershon","Joe Pantoliano","John P. Ryan","Christopher Meloni"
"321","The Pact","Feature Film","Horror",89,"R","IFC Films",2012,7,6,2012,11,6,5.8,18670,"Fresh",65,"Spilled",41,"no","no","no","no","no","no","Nicholas McCarthy","Caity Lotz","Jewel Staite","Casper Van Dien","Samuel Ball","Haley Hudson"
"322","Electric Dreams","Feature Film","Drama",95,"PG","MGM",1984,7,20,NA,NA,NA,6.5,5149,"Rotten",47,"Upright",72,"no","no","no","no","no","no","Steve Barron","Lenny Von Dohlen","Virginia Madsen","Maxwell Caulfield","Bud Cort","Don Fellows"
"323","Bull Durham","Feature Film","Drama",108,"R","Orion Pictures",1988,6,15,1998,10,28,7.1,35577,"Certified Fresh",97,"Upright",83,"no","no","no","yes","no","no","Ron Shelton","Kevin Costner","Susan Sarandon","Tim Robbins","Trey Wilson","Robert Wuhl"
"324","Man on Wire","Documentary","Documentary",94,"PG-13","Magnolia Pictures",2008,1,22,2008,12,9,7.9,38076,"Certified Fresh",100,"Upright",87,"no","no","no","no","no","no","James Marsh","Philippe Petit","Alan Welner","Annie Allix","Jim Moore","Jean Francois Heckel"
"325","Epic Movie","Feature Film","Action & Adventure",86,"R","20th Century Fox",2007,1,26,2007,5,22,2.3,87652,"Rotten",2,"Spilled",29,"no","no","no","no","no","no","Aaron Seltzer","Kal Penn","Adam Campbell","Jayma Mays","Faune A. Chambers","Crispin Glover"
"326","Below","Feature Film","Mystery & Suspense",105,"R","Dimension Films",2002,10,11,2003,3,11,6.2,17329,"Fresh",63,"Spilled",45,"no","no","no","no","no","no","David Twohy","Matthew Davis","Bruce Greenwood","Olivia Williams","Scott Foley","Holt McCallany"
"327","The Captive","Feature Film","Mystery & Suspense",112,"R","A24",2014,12,9,2015,3,3,5.9,16511,"Rotten",31,"Spilled",34,"no","no","no","no","no","no","Atom Egoyan","Ryan Reynolds","Mireille Enos","Scott Speedman","Rosario Dawson","Kevin Durand"
"328","The Saddest Music in the World","Feature Film","Drama",100,"R","IFC Films",2004,4,30,2004,11,16,7.2,5002,"Certified Fresh",78,"Upright",79,"no","no","no","no","no","no","Guy Maddin","Isabella Rossellini","Mark McKinney","Maria de Medeiros","Ross McMillan","David Fox"
"329","The Godfather, Part II","Feature Film","Mystery & Suspense",202,"R","Paramount Pictures",1974,12,20,2005,5,24,9,749783,"Certified Fresh",97,"Upright",97,"yes","yes","yes","yes","yes","no","Francis Ford Coppola","Al Pacino","Robert De Niro","Robert Duvall","Diane Keaton","Talia Shire"
"330","Phantom of the Paradise","Feature Film","Horror",92,"PG","Fox",1974,10,31,2001,9,4,7.4,10599,"Fresh",95,"Upright",84,"no","no","no","no","no","no","Brian DePalma","William Finley","Paul Williams","Jessica Harper","George Memmoli","Gerrit Graham"
"331","Twenty Bucks","Feature Film","Drama",91,"R","Sony Pictures Home Entertainment",1993,1,1,2005,7,4,6.4,3101,"Fresh",75,"Upright",63,"no","no","no","no","no","no","Keva Rosenfeld","Linda Hunt","Brendan Fraser","Gladys Knight","Elisabeth Shue","David Rasche"
"332","Alaska","Feature Film","Action & Adventure",109,"PG","Sony Pictures Home Entertainment",1996,8,14,2002,9,3,5.7,4180,"Rotten",18,"Spilled",44,"no","no","yes","no","no","no","Fraser Clarke Heston","Thora Birch","Vincent Kartheiser","Dirk Benedict","Charlton Heston","Gordon Tootoosis"
"333","49 Up","Documentary","Documentary",180,"Unrated","First Run Features",2006,10,6,2006,11,14,8.2,2056,"Certified Fresh",95,"Upright",86,"no","no","no","no","no","no","Michael Apted","Bruce Balden","Jacqueline Bassett","Symon Basterfield","Andrew Brackfield","John Brisby"
"334","This is 40","Feature Film","Comedy",134,"R","Universal Studios",2012,12,21,2013,3,22,6.2,100447,"Rotten",51,"Spilled",50,"no","no","no","no","no","no","Judd Apatow","Leslie Mann","Paul Rudd","John Lithgow","Megan Fox","Albert Brooks"
"335","Fair Game","Feature Film","Drama",108,"PG-13","Summit Entertainment",2010,11,5,2011,3,29,6.8,37506,"Certified Fresh",79,"Upright",65,"no","no","yes","no","no","no","Doug Liman","Naomi Watts","Sean Penn","Bruce McGill","Michael Kelly","Ty Burrell"
"336","Hercules","Feature Film","Action & Adventure",98,"PG-13","Paramount Pictures",2014,7,25,2014,11,4,6,109633,"Fresh",60,"Spilled",49,"no","no","no","no","no","no","Brett Ratner","Dwayne ""The Rock"" Johnson","Ian McShane","Rufus Sewell","Ingrid Bolso Berdal","John Hurt"
"337","Max Manus: Man of War","Feature Film","Drama",118,"Unrated","Nordisk Film Biograf Distribution",2010,9,3,2011,6,28,7.3,21443,"Fresh",80,"Upright",83,"no","no","no","no","no","no","Joachim Roenning","Askel Hennie","Aksel Hennie","Agnes Kittelsen","Nicolai Cleve Broch","Ken Duken"
"338","Curdled","Feature Film","Drama",88,"R","Miramax",1996,9,6,2004,3,2,5.9,4031,"Rotten",17,"Spilled",57,"no","no","no","no","no","no","Reb Braddock","Angela Jones","William Baldwin","Bruce Ramsay","Mel Gorham","Lois Chiles"
"339","The Omen","Feature Film","Mystery & Suspense",110,"R","20th Century Fox",2006,6,6,2006,10,17,5.5,47692,"Rotten",27,"Spilled",40,"no","no","no","no","no","no","John Moore","Julia Stiles","Liev Schreiber","Mia Farrow","David Thewlis","Pete Postlethwaite"
"340","A Night at the Roxbury","Feature Film","Comedy",82,"PG-13","Paramount Pictures",1998,10,2,1999,4,20,6.2,47343,"Rotten",11,"Upright",69,"no","no","no","no","no","no","Amy Heckerling","Chris Kattan","Will Ferrell","Loni Anderson","Dan Hedaya","Dwayne Hickman"
"341","Tank Girl","Feature Film","Action & Adventure",104,"R","MGM Home Entertainment",1995,3,1,2001,4,10,5.2,24084,"Rotten",38,"Upright",63,"no","no","no","no","no","no","Rachel Talalay","Lori Petty","Malcolm McDowell","Ice-T","Naomi Watts","Don Harvey"
"342","Missing","Feature Film","Mystery & Suspense",122,"PG","Universal Pictures",1982,2,12,2004,11,23,7.8,13215,"Fresh",96,"Upright",85,"yes","no","yes","yes","no","no","Costa-Gavras","Jack Lemmon","Sissy Spacek","John Shea","Melanie Mayron","Charles Cioffi"
"343","Point Break","Feature Film","Mystery & Suspense",122,"R","Twentieth Century Fox Home Entertainment",1991,7,12,2001,5,22,7.2,105982,"Fresh",68,"Upright",79,"no","no","no","no","yes","no","Kathryn Bigelow","Keanu Reeves","Patrick Swayze","Gary Busey","Lori Petty","John C. McGinley"
"344","Shall We Dance","Feature Film","Drama",106,"PG-13","Miramax Films",2004,10,15,2005,2,1,6.1,34461,"Rotten",46,"Spilled",57,"no","no","no","yes","no","no","Peter Chelsom","Richard Gere","Jennifer Lopez","Susan Sarandon","Stanley Tucci","Bobby Cannavale"
"345","Malibu's Most Wanted","Feature Film","Comedy",86,"PG-13","Warner Bros.",2003,4,18,2003,9,9,5.1,15714,"Rotten",31,"Spilled",53,"no","no","no","no","no","no","John Whitesell","Taye Diggs","Anthony Anderson","Regina Hall","Ryan O'Neal","Bo Derek"
"346","The Evening Star","Feature Film","Drama",129,"PG-13","Paramount Home Video",1996,6,1,2001,2,27,5.8,3358,"Rotten",23,"Upright",65,"no","no","no","yes","no","no","Robert Harling","Shirley MacLaine","Bill Paxton","Juliette Lewis","Miranda Richardson","Ben Johnson"
"347","Cloud Atlas","Feature Film","Drama",172,"R","Warner Bros. Pictures",2012,10,26,2013,5,14,7.5,275125,"Fresh",66,"Upright",66,"no","no","yes","yes","no","no","Tom Tykwer","Tom Hanks","Halle Berry","Jim Broadbent","Hugo Weaving","Jim Sturgess"
"348","Fire Down Below","Feature Film","Action & Adventure",105,"R","Warner Home Video",1997,9,5,2001,9,4,4.9,13280,"Rotten",11,"Spilled",35,"no","no","no","no","no","no","Harry Dean Stanton","Steven Seagal","Marg Helgenberger","Harry Dean Stanton","Stephen Lang","Kris Kristofferson"
"349","Disaster Movie","Feature Film","Comedy",87,"PG-13","Lionsgate",2008,8,29,2009,1,6,1.9,73219,"Rotten",1,"Spilled",19,"no","no","no","no","no","no","Aaron Seltzer","Matt Lanter","Kim Kardashian","Vanessa Lachey","Carmen Electra","G-Thang"
"350","Teen Wolf Too","Feature Film","Science Fiction & Fantasy",95,"PG","Paramount Home Video",1987,11,20,NA,NA,NA,3.1,8319,"Rotten",7,"Spilled",17,"no","no","no","no","no","no","Christopher Leitch","Jason Bateman","Kim Darby","John Astin","Estee Chandler","Paul Sand"
"351","A Little Romance","Feature Film","Drama",110,"PG","WARNER BROTHERS PICTURES",1979,4,27,2003,1,7,7.5,3859,"Fresh",72,"Upright",86,"no","no","yes","no","yes","no","George Roy Hill","Laurence Olivier","Diane Lane","Thelonious Bernard","Thelonius Bernard","Arthur Hill"
"352","First Knight","Feature Film","Drama",134,"PG-13","Sony Pictures Home Entertainment",1995,7,7,1997,10,7,5.9,53535,"Rotten",47,"Spilled",55,"no","no","no","no","no","no","Jerry Zucker","Sean Connery","Richard Gere","Julia Ormond","Ben Cross","Liam Cunningham"
"353","Tabloid","Documentary","Documentary",87,"R","IFC Films",2011,7,15,2011,11,1,7.1,4907,"Certified Fresh",91,"Upright",72,"no","no","no","no","no","no","Errol Morris","Joyce McKinney","Jackson Shaw","Peter Tory","Troy Williams","Kent Gavin"
"354","The Hurt Locker","Feature Film","Drama",131,"R","Summit Entertainment",2009,6,26,2010,1,12,7.6,318019,"Certified Fresh",98,"Upright",84,"no","yes","no","no","yes","no","Kathryn Bigelow","Jeremy Renner","Anthony Mackie","Brian Geraghty","Guy Pearce","Ralph Fiennes"
"355","Benda Bilili!","Documentary","Documentary",85,"PG-13","National Geographic Entertainment",2011,9,30,2012,4,3,7.5,679,"Fresh",93,"Upright",82,"no","no","no","no","no","no","Florent de la Tullaye","Makemo Nzale","Theo ""Coude"" Nsituvuidi","Zadis Mbulu Nzungu","Djunana Tanga-Suele","Coco Ngambali Yakala"
"356","Memento","Feature Film","Mystery & Suspense",113,"R","Newmarket Films",2000,9,5,2001,9,4,8.5,806911,"Certified Fresh",92,"Upright",94,"no","no","no","no","no","no","Christopher Nolan","Guy Pearce","Joe Pantoliano","Carrie-Anne Moss","Stephen Tobolowsky","Mark Boone Jr."
"357","A Prayer for the Dying","Feature Film","Drama",107,"R","Virgin Vision",1987,9,1,2003,2,4,6.4,3342,"Fresh",63,"Spilled",55,"no","no","no","no","no","no","Mike Hodges","Mickey Rourke","Bob Hoskins","Alan Bates","Sammi Davis","Christopher Fulford"
"358","Jonestown: The Life and Death of Peoples Temple","Documentary","Documentary",86,"Unrated","7th art",2006,10,20,2007,4,10,7.9,3649,"Certified Fresh",94,"Upright",88,"no","no","no","no","no","no","Stanley Nelson",NA,NA,NA,NA,NA
"359","So I Married an Axe Murderer","Feature Film","Comedy",93,"PG-13","TriStar Pictures",1993,7,30,1999,6,1,6.4,27417,"Rotten",55,"Upright",68,"no","no","no","no","no","no","Thomas Schlamme","Mike Myers","Nancy Travis","Anthony LaPaglia","Amanda Plummer","Brenda Fricker"
"360","Ziggy Stardust and the Spiders from Mars","Documentary","Documentary",90,"PG","20th Century Fox Film Corporat",1973,12,1,2003,4,1,7.5,1815,"Fresh",71,"Upright",89,"no","no","no","no","no","no","D.A. Pennebaker","David Bowie","Mick Ronson","Trevor Bolder","Mick Woodmansy","Angela Bowie"
"361","Conversations With Other Women","Feature Film","Drama",84,"R","Fabrication Films",2006,8,11,2007,1,9,7.1,9939,"Fresh",74,"Upright",76,"no","no","no","no","no","no","Hans Canosa","Aaron Eckhart","Brian Geraghty","Brianna Brown","Olivia Wilde","Thomas Lennon"
"362","Sleepwalking","Feature Film","Drama",101,"R","Overture Films",2008,1,22,2008,7,8,6.2,4857,"Rotten",17,"Spilled",43,"no","no","no","yes","no","no","Bill Maher","Charlize Theron","Nick Stahl","Annasophia Robb","Dennis Hopper","Woody Harrelson"
"363","Next Stop, Greenwich Village","Feature Film","Drama",111,"R","20th Century Fox Film Corporation",1976,2,4,2005,12,13,6.9,1428,"Fresh",73,"Upright",62,"no","no","no","no","no","no","Paul Mazursky","Lenny Baker","Shelley Winters","Christopher Walken","Ellen Greene","Lois Smith"
"364","Dream House","Feature Film","Mystery & Suspense",92,"PG-13","Universal Pictures",2011,9,30,2012,1,31,5.9,44248,"Rotten",6,"Spilled",36,"no","no","no","no","no","no","Jim Sheridan","Daniel Craig","Rachel Weisz","Naomi Watts","Elias Koteas","Marton Csokas"
"365","Resurrecting the Champ","Feature Film","Drama",112,"PG-13","Yari Film Group Releasing",2007,8,24,2008,2,26,6.8,18141,"Fresh",60,"Upright",60,"no","no","no","no","no","no","Rod Lurie","Samuel L. Jackson","Josh Hartnett","Kathryn Morris","Alan Alda","Rachel Nichols"
"366","The Help","Feature Film","Drama",146,"PG-13","DreamWorks Studios",2011,8,10,2011,12,6,8.1,303529,"Certified Fresh",76,"Upright",89,"yes","no","no","no","no","no","Tate Taylor","Emma Stone","Viola Davis","Bryce Dallas Howard","Octavia Spencer","Jessica Chastain"
"367","A Scanner Darkly","Feature Film","Drama",100,"R","Warner Independent Pictures",2006,7,28,2006,12,19,7.1,86953,"Fresh",69,"Upright",74,"no","no","no","no","no","no","Richard Linklater","Keanu Reeves","Robert Downey Jr.","Woody Harrelson","Winona Ryder","Rory Cochrane"
"368","Hard Candy","Feature Film","Drama",104,"R","Lions Gate Films",2006,4,14,2006,9,19,7.1,128361,"Fresh",68,"Upright",78,"no","no","no","no","no","no","David Slade","Ellen Page","Patrick Wilson","Sandra Oh","Jennifer Holmes","G.J. Echternkamp"
"369","This Is the End","Feature Film","Drama",107,"R","Sony Pictures",2013,6,12,2013,10,1,6.7,297034,"Certified Fresh",83,"Upright",71,"no","no","no","no","no","no","Seth Rogen","James Franco","Jonah Hill","Danny McBride","Craig Robinson","Michael Cera"
"370","Longtime Companion","Feature Film","Drama",96,"R","Samuel Goldwyn Company",1990,5,11,2001,1,23,7.6,4143,"Fresh",100,"Upright",82,"no","no","no","no","no","no","Norman Rene","Bruce Davison","Mark Lamos","Campbell Scott","Stephen Caffrey","Patrick Cassidy"
"371","The Last Lions","Documentary","Documentary",88,"PG","National Geographic Entertainment",2011,2,18,2012,1,3,8.4,3128,"Fresh",87,"Upright",89,"no","no","yes","no","no","no","Dereck Joubert","Jeremy Irons",NA,NA,NA,NA
"372","Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)","Feature Film","Drama",93,"R","New Yorker Films",1972,12,29,2000,10,24,8,36909,"Fresh",98,"Upright",91,"no","no","no","no","no","no","Werner Herzog","Klaus Kinski","Ruy Guerra","Ruy Guerra","Del Negro","Del Negro"
"373","Inserts","Feature Film","Drama",117,"NC-17",NA,1975,1,1,2005,8,23,6.4,1043,"Fresh",80,"Spilled",56,"no","no","yes","no","no","no","John Byrum","Richard Dreyfuss","Jessica Harper","Stephen Davies","Veronica Cartwright","Bob Hoskins"
"374","Star Trek: Insurrection","Feature Film","Action & Adventure",103,"PG","Paramount Pictures",1998,12,11,1999,5,11,6.4,54829,"Rotten",55,"Spilled",45,"no","no","no","no","no","no","Jonathan Frakes","Brent Spiner","Michael Dorn","LeVar Burton","F Murray Abraham","Donna Murphy"
"375","Valmont","Feature Film","Drama",137,"R","Orion Home Video",1989,11,1,2002,5,14,7,9725,"Rotten",54,"Upright",70,"no","no","yes","no","no","no","Milos Forman","Colin Firth","Annette Bening","Meg Tilly","Fairuza Balk","Sian Phillips"
"376","Kill Bill: Volume 2","Feature Film","Drama",137,"R","Miramax Films",2004,4,16,2004,8,10,8,490295,"Certified Fresh",84,"Upright",89,"no","no","no","no","no","no","Quentin Tarantino","Uma Thurman","David Carradine","Michael Madsen","Daryl Hannah","Gordon Liu"
"377","8 Heads in a Duffel Bag","Feature Film","Comedy",95,"R","Orion Home Video",1997,4,18,2002,10,8,5.2,7881,"Rotten",11,"Spilled",35,"no","no","no","no","no","no","Tom Schulman","Joe Pesci","Andy Comeau","Kristy Swanson","David Spade","George Hamilton"
"378","Meteor","Feature Film","Drama",108,"PG","American International Pictures",1979,10,19,2000,3,7,4.9,5136,"Rotten",5,"Spilled",13,"no","no","no","no","no","no","Ronald Neame","Sean Connery","Natalie Wood","Karl Malden","Brian Keith","Martin Landau"
"379","Dance Flick","Feature Film","Action & Adventure",83,"PG-13","Paramount Studios",2009,5,22,2009,9,8,3.5,10055,"Rotten",18,"Spilled",30,"no","no","no","no","no","no","Damien Wayans","Essence Atkins","Shawn Wayans","Shoshanna Bush","Marlon Wayans","Damon Wayans Jr."
"380","Stolen Summer","Feature Film","Drama",91,"PG","Miramax Films",2002,3,22,2002,9,24,6.5,2408,"Rotten",36,"Upright",68,"no","no","no","no","no","no","Pete Jones","Aidan Quinn","Bonnie Hunt","Adiel Stein","Kevin Pollak","Adi Stein"
"381","1941","Feature Film","Action & Adventure",118,"PG","MCA Universal Home Video",1979,12,14,1999,3,23,5.9,24472,"Rotten",32,"Spilled",49,"no","no","no","no","yes","no","Steven Spielberg","Dan Aykroyd","Ned Beatty","John Belushi","Lorraine Gary","Murray Hamilton"
"382","Underworld: The Rise of the Lycans","Feature Film","Action & Adventure",92,"R","Sony Pictures/Screen Gems",2009,1,23,2009,5,12,6.6,115026,"Rotten",29,"Upright",63,"no","no","no","no","no","no","Patrick Tatopoulos","Bill Nighy","Michael Sheen","Rhona Mitra","Steven Mackintosh","Kevin Grevioux"
"383","After Innocence","Documentary","Documentary",95,"Unrated","New Yorker Films",2005,10,21,2007,2,6,7.8,651,"Certified Fresh",91,"Upright",81,"no","no","no","no","no","no","Jessica Sanders","Herman Atkins","Wilton Dedge","Scott Hornoff","Dennis Maher","Vincent Moto"
"384","Tim and Eric's Billion Dollar Movie","Feature Film","Comedy",93,"R","Magnolia Pictures",2012,3,2,2012,5,8,5.3,7710,"Rotten",38,"Spilled",47,"no","no","no","no","no","no","Tim Heidecker","Tim Heidecker","Eric Wareheim","William Atherton","Jeff Goldblum","Robert Loggia"
"385","Mr. Jones","Feature Film","Drama",114,"R","Sony Pictures Home Entertainment",1993,10,8,2000,1,25,5.7,5425,"Rotten",46,"Spilled",51,"no","no","no","yes","no","no","Mike Figgis","Richard Gere","Lena Olin","Anne Bancroft","Delroy Lindo","Tom Irwin"
"386","My Flesh and Blood","Documentary","Documentary",83,"Unrated","Strand Releasing",2003,11,28,2004,11,30,8.4,1571,"Fresh",90,"Upright",93,"no","no","no","no","no","no","Jonathan Karsh","Susan Tom","Joe Tom","Chloe Tom","Anthony Tom","Xenia Tom"
"387","Revenge of the Nerds II: Nerds in Paradise","Feature Film","Comedy",88,"PG-13","Twentieth Century Fox Home Entertainment",1987,7,10,2007,3,6,4.9,10271,"Rotten",8,"Spilled",35,"no","no","no","no","no","no","Joe Roth","Robert Carradine","Courtney Thorne-Smith","Curtis Armstrong","Larry B. Scott","Timothy Busfield"
"388","Hulk","Feature Film","Action & Adventure",138,"PG-13","Universal Pictures",2003,6,20,2003,10,28,5.7,204042,"Fresh",61,"Spilled",29,"no","no","no","no","yes","no","Ang Lee","Eric Bana","Jennifer Connelly","Sam Elliott","Nick Nolte","Josh Lucas"
"389","Vampire in Brooklyn","Feature Film","Horror",100,"R","Paramount",1995,10,27,2002,1,29,4.5,16824,"Rotten",10,"Spilled",31,"no","no","no","no","no","no","Wes Craven","Eddie Murphy","Angela Bassett","Allen Payne","Kadeem Hardison","John Witherspoon"
"390","Agent Cody Banks 2: Destination London","Feature Film","Action & Adventure",100,"PG","MGM",2004,3,12,2004,7,13,4.5,10651,"Rotten",13,"Spilled",31,"no","no","no","no","no","no","Kevin Allen","Frankie Muniz","Anthony Anderson","Hannah Spearritt","Cynthia Stevenson","Daniel Roebuck"
"391","Into The Arms Of Strangers - Stories Of The Kindertransport","Documentary","Documentary",122,"PG","Warner Bros. Pictures",2000,9,15,2001,8,28,7.9,1346,"Fresh",94,"Upright",85,"no","no","no","no","no","no","Mark Jonathan Harris","Lorraine Allard","Lory Cahn","Hedy Epstein","Kurt Fuchel","Gordon Alexander"
